teamid,team_name,school_id,team_level,num_coaches_and_admins
995ca733e3657ff9f5f3c823d73371e1,Boys Varsity Basketball,e00406144c1e7e35240afed70f34166a,Varsity,10
174181cc5765a4a1a85a2d7602ba9ca5,Boys Varsity Basketball,03dadd644cb5856e1bb2c75dda01a4f0,Varsity,3
04d5607a7d534805841ab55f14ade5cd,Girls Basketball,ca5520b5672ea120b23bde75c46e76c6,Varsity,3
03ccaa53f7d5ce3c4ebecb7c18d017e6,Boys Varsity Basketball,0390aff9c68eeb7b64fbebe21c878de3,Varsity,12
54ea6f3d258225a69095edccd4d4d178,Watonga HS Girls Basketball,9958517b2a48851d2ada1c76c88cfc56,Varsity,3
57ebf8678a4e076d66afb423a3349226,Girls Varsity Basketball,14da92f2bdaec7f2218042a5b6124570,Varsity,6
b1240b6b84295352c62c556aa739a840,Boys Varsity Basketball,8ca22b09aeb179a42c434b12b381c692,Varsity,7
9a18c77572a2181f8bb6a4b13921a606,Varsity Girls Basketball,a7c9585703d275249f30a088cebba0ad,Varsity,7
fba987fda2fff9fb58b6b75fafcfa7a9,Old - Girls Varsity Basketball,b56baf5ddf91123f42fa39ebb461e126,Varsity,5
5d9e4a04afb9f3608ccc76c1ffa7573e,Girl's JV Basketball,45c48cce2e2d7fbdea1afc51c7c6ad26,JV,7
7100ac238505ae7b727d7d0f685e9bc9,Dickinson Girls Varsity Basketball,4452b5fc39a78f284e94582992f29e55,Varsity,6
a3d838db377f1511091b774f7814a7d5,MS Boys Basketball,7806689d934e610d660caf5536fea0b2,Other,6
2defb9841f3d40bc35382ca453faf867,BETA Girls Basketball,a40dd893c0c55a729d56d7b96c2d1963,Other,1
c28505ccd4f75c870436c53d6c2d8707,Stepinac Freshman Basketball team,e775a20f0553c08010a113c9c67de544,Freshman,3
dd55fce88889a62efd223acb22d193db,Girls Varsity Basketball,c1bc7f81bdba1b65aca9d6d1592b41ad,Varsity,3
ea92bc723fe4c009251563fea1539088,Girls Varsity Basketball,0c7a625d5077d3baab054e3c91323a77,Varsity,8
39dc9350857037938eabc5cb6c2b1a18,Boys Varsity Basketball,5ee30efecf176f14ce8d28012c216dcc,Varsity,10
1b5a981324be8709c60bb0da354d55d1,JV Boys Basketball,1cbcaa5abbb6b70f378a3a03d0c26386,JV,6
