school_id,state
e00406144c1e7e35240afed70f34166a,Kansas
03dadd644cb5856e1bb2c75dda01a4f0,Florida
ca5520b5672ea120b23bde75c46e76c6,New Jersey
0390aff9c68eeb7b64fbebe21c878de3,Wisconsin
9958517b2a48851d2ada1c76c88cfc56,Oklahoma
14da92f2bdaec7f2218042a5b6124570,New Jersey
8ca22b09aeb179a42c434b12b381c692,Pennsylvania
a7c9585703d275249f30a088cebba0ad,New York
b56baf5ddf91123f42fa39ebb461e126,South Dakota
45c48cce2e2d7fbdea1afc51c7c6ad26,Nebraska
4452b5fc39a78f284e94582992f29e55,North Dakota
7806689d934e610d660caf5536fea0b2,Kansas
a40dd893c0c55a729d56d7b96c2d1963,Pennsylvania
e775a20f0553c08010a113c9c67de544,New York
c1bc7f81bdba1b65aca9d6d1592b41ad,Iowa
0c7a625d5077d3baab054e3c91323a77,Pennsylvania
5ee30efecf176f14ce8d28012c216dcc,Georgia
1cbcaa5abbb6b70f378a3a03d0c26386,Ohio
4a08142c38dbe374195d41c04562d9f8,Minnesota
94f0b006108b4e0b7024060797631346,New Hampshire
2db3545a41db81329326dbb11caff449,New Hampshire
3b5f657f49a25ad6dae77d4e048d1003,Michigan
0e668474147b19cfdc7c8cbef7f9f2e3,New York
c7a37dd1e972ec27bcf0858a893d00a4,Connecticut
10b2b8698ea0385652248b0a93b86a57,Pennsylvania
f8e64ef83e6f6881ceca3a3922921ddd,Pennsylvania
4de1ed74128a96a8b5900186486aacba,Washington
a5211cd8d2605ed43c70fa82884cc849,Ohio
b534ba68236ba543ae44b22bd110a1d6,Nebraska
3c1e4bd67169b8153e0047536c9f541e,New Jersey
b18c1cc30ee2dc3e94d02de588420392,Ohio
ef0d3930a7b6c95bd2b32ed45989c61f,Colorado
8ea4058893eee96e3c4975d904d1c6bb,North Carolina
b4bf5de15063cd27595dfd36bc9db335,Ohio
5dedb42b34e50082065a783265ce28a8,Massachusetts
022400dffec5b4477f760ca0e7449d73,Illinois
ee188463935a061dee6df8bf449cb882,North Carolina
b16257c96b9844ace63d499838c2b71a,Nebraska
fb465909b8627e4912b4a32d1030164c,Michigan
f24ad6f72d6cc4cb51464f2b29ab69d3,Nebraska
9813b270ed0288e7c0388f0fd4ec68f5,Kansas
9bcb182ab31f229322cff3c8888b2cec,Texas
696186d1596721cb6e79013d4655c5d9,Wisconsin
2458ab18be2a140a1cfb932dd96f25d6,Massachusetts
e633e2ac7a14a4d56384f38df943792b,Tennessee
5f1b9c5afb9283895ff098846faacf50,Missouri
1bab3ee1fcee95ea059f452e9c6face6,South Dakota
4d7a968bb636e25818ff2a3941db08c1,Kentucky
708f3cf8100d5e71834b1db77dfa15d6,Iowa
d2f53008ecf7568f1abeb455e1dcf5e4,Ohio
7a6322d4cd522986abfc17e6f73ef4ab,Nebraska
7690dd4db7a92524c684e3191919eb6b,Colorado
73c2bf297c5aec4bcbdeb4435328c335,Texas
40cb9f2ff30f26a410c5af6b22b7b80b,Connecticut
d44003cb6be8cff88c4f9ef9fd31b820,Georgia
40afd3a37cca05efe623b7509855c73a,Washington
a69017f8746c392b173dc70700fda957,North Carolina
770f8e448d07586afbf77bb59f698587,Wyoming
07193c44ba3be8df1f67e96110c2006e,Ohio
d947bf06a885db0d477d707121934ff8,Iowa
8725fb777f25776ffa9076e44fcfd776,Iowa
9dcb88e0137649590b755372b040afad,Kansas
5e56343dada029d40a90b44e1ca3d495,California
f7fa6aca028e7ff4ef62d75ed025fe76,Texas
f5d0405d5c8d3ebcd826cbc3a77db735,Pennsylvania
9a5b67bf56e576c4d0de7d90d3171644,Texas
5f245ebebce62ddcfacd1b6292c69392,Michigan
dc1c347d471f68e41ad2a9a1145941d6,Florida
1ba0846587744383fa518b7e642ff632,Washington
bec86aeee7d10a957750af645055a115,Michigan
edea298442a67de045e88dfb6e5ea4a2,Nebraska
92251e8665e19be62c86ff039528e16e,Kansas
9dc6864f20548aa7f9d8500bc28dafef,North Carolina
01922cbeae89ad4d79ab769e84e7c5da,Texas
2c6013eae59ce171ddbcdb7a0a0becef,Arkansas
de03beffeed9da5f3639a621bcab5dd4,Ohio
f916b2ed383e62ec91b915de8ba77e0b,Nebraska
21fe5b8ba755eeaece7a450849876228,California
c5941be9c01b6fb6468639d5f03af022,New York
61bd5a9f9bb389ac9cbcc5d3f0eeefcc,Wisconsin
9b279012cc9b02e28fb32e827355714f,Michigan
f19fec2f129fbdba76493451275c883a,Minnesota
4248f287dc9fab6abfcf1c333aa9838e,Pennsylvania
873a420964dbfac72c5b49ce65cb1991,North Dakota
3da508de45fcad17289fd382a1b95376,Michigan
f804d21145597e42851fa736e221da3f,Wisconsin
835bafd2c534a1830c0590774285ff88,Michigan
9f9d8edfbd4baab2060a115bbdcee1d6,Florida
32f57c0fa63af22a58598d1e0583ece9,Ohio
68ce199ec2c5517597ce0a4d89620f55,Texas
26e359e83860db1d11b6acca57d8ea88,Kansas
f942c03b0954ea15bc3aab7c6d8847eb,New York
3ae3b9d70e3a1be516add1d7e16bfd20,California
fb420d76222279c408e6ec8fbff53cb6,Nebraska
e6be5b6def555465fea6d6458bd7eba5,Massachusetts
82f292a22966b857d968fb578ccbead9,Indiana
7967cc8e3ab559e68cc944c44b1cf3e8,Texas
8bbd6ed02e5b1387ac5e61e03b1608fb,Maryland
124dc1621ddb7fc7dc1fb0e21feedf49,Texas
05f56d5f042aa4dce70f211d2a981e15,Texas
77da2f07ed6c94afa27b5f113bea7ebe,Ohio
fc2c7c47b918d0c2d792a719dfb602ef,Texas
e35284b6966864480f02bc12997b8b49,New York
d01eeca8b24321cd2fe89dd85b9beb51,California
645098b086d2f9e1e0e939c27f9f2d6f,Colorado
ac0bfdba5fb1f97273dbcc5039c665c4,Florida
1facae6326242d7a0a2139b08546ec58,Michigan
c7aa952887ba7e5c61905abd5cbfbb0c,Georgia
931a5f9a02c3c557c941f45ed2677c90,Delaware
e12660adc7b1a88a9df3f14dcde95197,New York
4b3909f00d45451966f2fdc01cdcc610,Wisconsin
6ba5bc4fe4c3f704112d0ba94020f4c2,Georgia
78106a0fa774284d86ec3585a5112ca5,Alabama
2bea3829a036694d8c8970aabbf000ac,Oklahoma
7f1171a78ce0780a2142a6eb7bc4f3c8,Kansas
c55d22f5c88cc6f04c0bb2e0025dd70b,Minnesota
86b122d4358357d834a87ce618a55de0,Ohio
7a47f991e304fd013ba300505eb42fd7,Wisconsin
c0e1fac1b114b4cfb6d3620c429de433,Idaho
a31173d9cd5b13c2ecd3ec68b071c4a4,Georgia
24be14e19b1e7b795df17629e09533c7,New York
a1a9310fb733cdd49c0808731b68c048,North Carolina
5631e6ee59a4175cd06c305840562ff3,California
6bc7ecf42fc0fbc27d7837e976d28649,Nebraska
327efb45357264e0d764058cad59bba0,Missouri
a01ef14cfea1aaacee576832f80ab8da,Nebraska
1d03841ea08e08c6e1c43cee7e07aaaa,New Jersey
c1adc7e5ae982a010af2eb442b583640,Wisconsin
187acf7982f3c169b3075132380986e4,Missouri
4b5fb5ef53ac99fb4961f6844ce0dd43,Oregon
1763ea5a7e72dd7ee64073c2dda7a7a8,California
da6dfa42744e1e423ce9ffbec3b39267,Texas
acc21473c4525b922286130ffbfe00b5,Massachusetts
4e9cec1f583056459111d63e24f3b8ef,Oregon
adb84616a2a89f3546abff75421dc557,Texas
133a2ec99e2817a4327621df3f856ca2,Arizona
d7e81e78801865d4e4c1be615e762ba4,Wisconsin
8e036cc193d0af59aa9b22821248292b,New York
894ac623e9b3060c61734f381935ae75,Georgia
31914689514c64a97d950a8d9eea3eeb,Texas
9ed27554c893b5bad850a422c3538c15,Illinois
a64c94baaf368e1840a1324e839230de,California
4b7a55505729b7f664e7222960e9c2d5,New Jersey
add217938e07bb1fd8796e0315b88c10,Wisconsin
67e235e7f2fa8800d8375409b566e6b6,Texas
c4015b7f368e6b4871809f49debe0579,QC
4fb8a7a22a82c80f2c26fe6c1e0dcbb3,Massachusetts
81616e9ab54cc3e36260f80593a4cc33,Michigan
a8849b052492b5106526b2331e526138,Texas
d4dcf709a96dca127d0429d73c443afb,Michigan
fe3b673e6693cf4a21e6e1b9a26e72c3,Ohio
3f78fa1cdb0e2fda88c2a935950ffdf1,Nebraska
86b48b560a92d18429bcfca2c70ee733,California
01de4c21eacf934da60552507a4696e6,Alabama
adf7e293599134777339fdc40ddfa818,Texas
30543a51b7a21d5312fdddfeecafb3d4,Texas
83dd3f9f97ef6533766c39d5b2e5e565,Texas
0bf0b26798f42e0ca56680ec6f103daa,New Mexico
b84a25d15d9d44f58640a485c1387df8,Montana
f1daf122cde863010844459363cd31db,Arizona
c55c6eea07345c455a100597687a61d2,Ohio
0f6d11a5f98dbcc41bdcd0c970a63d3f,New York
23fb42c7ddc1017599541a953efb68bb,North Carolina
6e66329891cbb9adb1966e44379cfadf,Missouri
2e2c4bf7ceaa4712a72dd5ee136dc9a8,California
5de310fd9365cd111d778791085b1eb3,Ohio
0fa82e5650657c087b2afb68af834716,Illinois
c10059c0ac08e46e083e38750387f953,North Carolina
99b824ede6546f5b83b7d2b66e4d8042,New York
e9de722f5fee30a9bb44216eaa70ae09,Colorado
ac796a52db3f16bbdb6557d3d89d1c5a,Texas
1a3f48b0cf8049492de46ac1de345086,New Hampshire
480eb54452f63abfa7f2eb0ffb1c62fe,Washington
8973ba741e7bd6450d8023552f43728e,Oklahoma
b443471216b517cc30cb9eea354e023d,Iowa
7fe61f156a674de0eb34eee36d98f68e,Michigan
11a31db27a7b70be0bb9759cf73d0939,Missouri
8e017d9b51e7b9284cd0da58fae39b33,Minnesota
26c8c8d11d174a840c0e568f82315a3c,Ohio
6483a599028c6f20aa6f40c3b507420d,New York
226982ab9123047f22996f01ae642335,Pennsylvania
555183669058fb273008595a9393d628,Wisconsin
71fcbae809ac29a498dbe627a7b23b4c,Illinois
13403518ef9c1ce843a289d991f79bf5,Colorado
e910a63844df7022c9b194d39b2686bf,Massachusetts
d8030afe156a4de429b42187a7bb28eb,Kansas
85cef7747c65f4a841426d6fdd329449,Arizona
710049f9a52cd294d54b75d46ad3d2db,California
46072631582fc240dd2674a7d063b040,Kansas
e8a079d6a3dbabc7bcfa0047f63e475c,Minnesota
da353f402faf6cf475d4abd1450b0882,Alabama
98f0d5f93731b7f3186531c37cca0945,Missouri
